game_id,team_id,HoA,won,head_coach,goals,shots,hits,pim
2020020220,8,home,False,Claude Julien,0,38,44,8
2020020220,22,away,False,Dave Tippett,3,31,26,6
2020020221,52,home,True,Paul Maurice,5,26,19,4
2020020221,9,away,True,D.J. Smith,1,42,22,4
2020020224,25,home,False,Rick Bowness,3,37,39,6
2020020224,12,away,False,Rod Brind'Amour,5,32,19,10
2020020222,23,home,False,Travis Green,1,34,12,8
2020020222,20,away,False,Geoff Ward,3,26,21,10
2020020226,54,home,False,Peter DeBoer,0,21,26,14
2020020226,24,away,False,Dallas Eakins,1,28,39,4
2020020227,26,home,True,Todd McLellan,6,31,15,6
2020020227,28,away,True,Bob Boughner,2,31,23,14
2020020228,3,home,False,David Quinn,0,21,31,22
2020020228,6,away,False,Bruce Cassidy,1,30,23,36
2020020684,53,home,False,Rick Tocchet,1,25,25,4
2020020684,19,away,False,Craig Berube,4,27,12,6
2020020236,52,home,False,Paul Maurice,1,31,21,2
2020020236,9,away,False,D.J. Smith,2,29,17,2
2020020149,28,home,False,Bob Boughner,1,25,27,14
2020020149,54,away,False,Peter DeBoer,3,26,23,10
2020020230,2,home,True,Barry Trotz,4,42,36,4
2020020230,6,away,True,Bruce Cassidy,2,30,27,2
2020020232,13,home,False,Joel Quenneville,1,34,36,17
2020020232,14,away,False,Jon Cooper,6,28,25,19
2020020235,10,home,False,Sheldon Keefe,1,22,16,0
2020020235,8,away,False,Claude Julien,2,25,46,2
2020020233,16,home,True,Jeremy Colliton,3,31,27,7
2020020233,29,away,True,John Tortorella,2,31,28,9
2020020234,18,home,False,John Hynes,2,23,19,8
2020020234,17,away,False,Jeff Blashill,4,30,13,4
2020020238,25,home,False,Rick Bowness,3,29,13,8
2020020238,12,away,False,Rod Brind'Amour,3,21,17,6
2020020239,53,home,False,Rick Tocchet,4,36,40,4
2020020239,19,away,False,Craig Berube,5,35,18,4
2020020237,23,home,True,Travis Green,3,46,19,6
2020020237,20,away,True,Geoff Ward,1,19,20,2
2020020242,5,home,True,Mike Sullivan,6,38,26,8
2020020242,15,away,True,Peter Laviolette,3,31,30,4
2020020243,54,home,True,Peter DeBoer,1,24,34,2
2020020243,21,away,True,Jared Bednar,0,30,33,6
2020020251,53,home,True,Rick Tocchet,1,19,30,4
2020020251,19,away,True,Craig Berube,0,24,16,8
2020020245,7,home,False,Ralph Krueger,1,21,15,4
2020020245,2,away,False,Barry Trotz,3,29,17,4
2020020247,10,home,False,Sheldon Keefe,5,38,21,11
