,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
154,2021010075,26,home,False,REG,Todd McLellan,1,39.0,6,8,8,66.7,1/4
155,2021010075,53,away,True,REG,André Tourigny,4,20.0,20,10,21,33.3,1/3
156,2021010076,6,home,False,OT,Bruce Cassidy,3,36.0,20,14,6,61.0,0/3
157,2021010076,15,away,True,OT,Peter Laviolette,4,30.0,17,6,6,39.0,1/7
158,2021010077,3,home,True,REG,Gerard Gallant,6,32.0,36,31,8,50.9,1/3
159,2021010077,1,away,False,REG,Lindy Ruff,2,34.0,31,23,13,49.1,0/2
160,2021010078,29,home,True,REG,Brad Larsen,4,37.0,19,2,9,56.0,3/4
161,2021010078,17,away,False,REG,Jeff Blashill,2,22.0,21,8,19,44.0,0/1
162,2021010079,52,home,True,REG,Paul Maurice,3,40.0,17,16,19,53.2,1/5
163,2021010079,20,away,False,REG,Darryl Sutter,2,18.0,21,22,10,46.8,1/2
164,2021010080,30,home,True,OT,Dean Evason,4,35.0,16,11,6,59.7,1/4
165,2021010080,19,away,False,OT,Craig Berube,3,20.0,6,13,12,40.3,0/3
166,2021010081,24,home,False,REG,Dallas Eakins,3,42.0,30,16,10,59.6,0/3
167,2021010081,26,away,True,REG,Todd McLellan,6,29.0,24,6,14,40.4,2/3
168,2021010082,8,home,False,OT,Dominique Ducharme,4,22.0,22,18,19,51.7,1/4
169,2021010082,9,away,True,OT,D.J. Smith,5,32.0,28,12,16,48.3,2/7
170,2021010084,14,home,True,REG,Jon Cooper,6,26.0,26,11,5,52.8,2/4
171,2021010084,13,away,False,REG,Joel Quenneville,2,23.0,22,13,6,47.2,0/3
172,2021010085,17,home,True,REG,Jeff Blashill,4,37.0,14,6,14,60.4,0/4
173,2021010085,5,away,False,REG,Mike Sullivan,2,24.0,20,10,11,39.6,1/2
174,2021010086,30,home,True,OT,Dean Evason,3,31.0,11,6,18,51.7,1/2
175,2021010086,16,away,False,OT,Jeremy Colliton,2,29.0,12,4,13,48.3,1/3
176,2021010087,25,home,True,REG,Rick Bowness,3,29.0,15,6,10,67.3,0/4
177,2021010087,21,away,False,REG,Jared Bednar,1,27.0,15,8,12,32.7,0/3
178,2021010088,22,home,True,REG,Dave Tippett,3,42.0,23,17,10,50.0,2/6
179,2021010088,23,away,False,REG,Travis Green,2,39.0,18,19,10,50.0,2/5
180,2021010089,54,home,False,REG,Peter DeBoer,1,26.0,18,9,11,45.6,1/3
181,2021010089,53,away,True,REG,André Tourigny,3,29.0,24,11,12,54.4,1/2
182,2021010090,15,home,True,REG,Peter Laviolette,5,33.0,21,20,9,34.3,1/3
183,2021010090,4,away,False,REG,Alain Vigneault,3,25.0,22,18,8,65.7,0/4
184,2021010091,19,home,True,REG,Craig Berube,7,29.0,9,4,7,46.7,1/3
185,2021010091,29,away,False,REG,Brad Larsen,3,20.0,11,6,7,53.3,0/2
186,2021010092,20,home,True,REG,Darryl Sutter,3,23.0,6,10,6,50.9,2/4
187,2021010092,52,away,False,REG,Paul Maurice,1,23.0,10,10,10,49.1,0/4
188,2021010093,7,home,True,REG,Don Granato,3,38.0,2,2,6,51.9,0/1
189,2021010093,17,away,False,REG,Jeff Blashill,1,19.0,7,2,10,48.1,0/1
190,2021010094,18,home,True,REG,John Hynes,4,17.0,17,10,10,48.2,1/3
191,2021010094,12,away,False,REG,Rod Brind'Amour,3,37.0,8,6,4,51.8,0/5
192,2021010095,13,home,False,REG,Joel Quenneville,2,47.0,20,12,14,56.4,0/3
193,2021010095,14,away,True,REG,Jon Cooper,4,29.0,25,8,17,43.6,2/5
194,2021010096,10,home,True,REG,Sheldon Keefe,4,31.0,23,18,6,59.6,1/4
195,2021010096,9,away,False,REG,D.J. Smith,1,19.0,33,28,10,40.4,0/4
196,2021010097,29,home,False,OT,Brad Larsen,3,29.0,22,12,11,46.9,0/3
197,2021010097,5,away,True,OT,Mike Sullivan,4,28.0,18,23,14,53.1,1/5
198,2021010098,21,home,True,REG,Jared Bednar,4,31.0,28,10,10,49.1,1/5
199,2021010098,25,away,False,REG,Rick Bowness,2,20.0,22,12,15,50.9,2/4
200,2021010099,2,home,False,OT,Barry Trotz,4,,0,12,0,0.0,1/3
201,2021010099,3,away,True,OT,Gerard Gallant,5,,0,8,0,0.0,3/5
202,2021010100,28,home,True,REG,Bob Boughner,4,34.0,34,4,14,55.6,1/3
203,2021010100,54,away,False,REG,Peter DeBoer,0,25.0,31,6,8,44.4,0/2
204,2021010101,16,home,True,REG,Jeremy Colliton,5,37.0,30,11,14,57.4,2/4
205,2021010101,30,away,False,REG,Dean Evason,1,26.0,28,15,13,42.6,0/2
206,2021010102,23,home,False,REG,Travis Green,2,28.0,23,8,5,68.2,0/4
207,2021010102,22,away,True,REG,Dave Tippett,3,18.0,16,12,20,31.8,1/2
208,2021010103,26,home,False,OT,Todd McLellan,3,32.0,16,8,15,47.9,1/3
209,2021010103,24,away,True,OT,Dallas Eakins,4,28.0,13,6,10,52.1,1/4
210,2021010104,25,home,True,REG,Rick Bowness,6,,0,18,0,0.0,1/5
211,2021010104,53,away,False,REG,André Tourigny,3,,0,20,0,0.0,2/4
212,2021020001,14,home,False,REG,Jon Cooper,2,28.0,31,2,11,50.7,0/1
213,2021020001,5,away,True,REG,Mike Sullivan,6,35.0,28,2,15,49.3,0/1
214,2021020002,54,home,True,REG,Peter DeBoer,4,30.0,26,8,19,52.0,0/3
215,2021020002,55,away,False,REG,Dave Hakstol,3,31.0,33,8,11,48.0,0/3
216,2021020003,10,home,True,REG,Sheldon Keefe,2,30.0,14,8,14,58.2,1/3
217,2021020003,8,away,False,REG,Dominique Ducharme,1,32.0,32,6,13,41.8,0/4
218,2021020004,15,home,True,REG,Peter Laviolette,5,27.0,12,16,15,39.2,3/6
219,2021020004,3,away,False,REG,Gerard Gallant,1,24.0,27,18,8,60.8,1/5
220,2021020005,21,home,True,REG,Jared Bednar,4,36.0,25,12,17,43.6,0/4
221,2021020005,16,away,False,REG,Jeremy Colliton,2,34.0,17,12,21,56.4,1/3
222,2021020006,22,home,True,OT,Dave Tippett,3,34.0,21,25,17,64.2,1/2
223,2021020006,23,away,False,OT,Travis Green,2,38.0,29,11,17,35.8,1/5
