,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
2590,2022020959,8481544,9,60:00,0.0,11/12,16/17,5/5,1
2591,2022020959,8478024,17,60:00,0.0,13/16,21/27,6/8,6
2592,2022020960,8476883,14,56:29,0.0,30/33,37/40,6/6,3
2593,2022020960,8475683,13,60:00,2.0,23/23,28/29,5/6,1
2594,2022020961,8476945,52,63:57,0.0,24/28,32/37,6/7,5
2595,2022020961,8477831,26,65:00,0.0,23/27,26/31,3/3,5
2596,2022020962,8479406,30,65:00,0.0,38/39,39/40,0/0,1
2597,2022020962,8478009,2,65:00,0.0,27/28,30/31,3/3,1
2598,2022020963,8477424,18,58:37,0.0,27/29,31/33,4/4,2
2599,2022020963,8477465,5,59:46,0.0,18/19,24/25,5/5,1
2600,2022020964,8476412,19,58:04,0.0,16/20,21/25,4/4,4
2601,2022020964,8474889,55,60:00,0.0,18/20,22/25,4/4,3
2602,2022020965,8474593,20,43:29,0.0,9/10,13/15,2/3,2
2603,2022020965,8478435,20,20:00,0.0,2/4,3/5,1/1,2
2604,2022020965,8476999,6,64:23,0.0,44/47,54/57,7/7,3
2605,2022020966,8478872,53,60:00,0.0,20/21,23/24,3/3,1
2606,2022020966,8471774,16,60:00,0.0,27/31,29/33,2/2,4
2607,2022020967,8478039,28,57:38,0.0,25/27,29/31,4/4,2
2608,2022020967,8474596,8,59:50,0.0,33/34,38/39,5/5,1
2609,2022020968,8479394,4,62:32,0.0,19/21,22/25,0/1,3
2610,2022020968,8478048,3,62:32,0.0,26/27,26/28,0/1,2
2611,2022020969,8479973,22,60:00,0.0,21/22,26/28,3/4,2
2612,2022020969,8478492,10,60:00,0.0,24/28,27/32,3/4,5
2613,2022020970,8479979,25,59:36,0.0,13/14,18/20,3/4,2
2614,2022020970,8478971,53,57:26,0.0,28/30,37/41,8/9,4
2615,2022020971,8481020,21,57:42,0.0,20/25,22/28,1/2,6
2616,2022020971,8481033,1,18:34,0.0,11/11,12/12,1/1,0
2617,2022020971,8477970,1,41:26,0.0,14/19,14/19,0/0,5
2618,2022020972,8478499,54,60:00,0.0,24/26,24/26,0/0,2
2619,2022020972,8475883,12,57:58,0.0,17/20,17/20,0/0,3
2620,2022020973,8476434,24,61:09,0.0,27/30,36/39,6/6,3
2621,2022020973,8475311,15,61:09,0.0,19/21,21/23,2/2,2
2622,2022020974,8480280,6,60:00,0.0,21/22,26/27,5/5,1
2623,2022020974,8480045,7,58:58,2.0,26/29,35/40,8/9,5
2624,2022020975,8475683,13,58:18,0.0,21/22,21/23,0/1,2
2625,2022020975,8480947,18,60:00,0.0,30/31,30/31,0/0,1
2626,2022020976,8470860,3,57:38,0.0,24/28,29/33,4/4,4
2627,2022020976,8475660,9,60:00,0.0,18/20,29/32,11/11,3
2628,2022020977,8476883,14,62:13,0.0,17/22,27/32,9/9,5
2629,2022020977,8477465,5,62:13,0.0,20/22,27/31,5/7,4
2630,2022020978,8478024,17,63:12,0.0,25/29,32/37,6/7,5
2631,2022020978,8474889,55,22:59,0.0,9/12,9/12,0/0,3
2632,2022020978,8475831,55,40:23,0.0,11/12,16/17,4/4,1
2633,2022020979,8475852,16,58:15,0.0,27/28,31/34,4/6,3
2634,2022020979,8483575,25,60:00,0.0,16/18,19/21,3/3,2
2635,2022020980,8474593,20,59:08,0.0,26/28,32/34,4/4,2
2636,2022020980,8479361,10,60:00,0.0,22/22,25/26,1/1,1
2637,2022020981,8477967,23,58:15,0.0,25/27,34/36,8/8,2
2638,2022020981,8470594,30,59:14,0.0,15/15,21/22,4/5,1
2639,2022020982,8477831,26,59:19,0.0,14/15,19/21,5/6,2
2640,2022020982,8474596,8,58:29,0.0,23/26,30/33,7/7,3
2641,2022020983,8473503,28,59:09,0.0,16/19,17/22,1/3,5
2642,2022020983,8471306,19,60:00,0.0,17/19,22/25,4/4,3
2643,2022020984,8478007,29,59:08,0.0,26/27,31/34,5/7,3
2644,2022020984,8475831,55,60:00,0.0,15/16,21/23,6/7,2
2645,2022020985,8479973,22,59:42,0.0,18/20,25/28,2/3,3
2646,2022020985,8479496,52,20:00,0.0,3/4,7/9,4/5,2
2647,2022020985,8476945,52,40:00,0.0,12/15,20/24,6/7,4
2648,2022020986,8478872,53,59:07,0.0,27/30,36/42,7/10,6
