game_id,team_id,time_on_ice,pim,shots,saves,power_play_saves,short_handed_saves,goals_against,save_percentage
2000020103,15,3900,0.0,26,22,2,1,4,84.61538462
2000020104,7,3867,0.0,27,22,3,1,5,81.48148148
2000020104,17,3867,0.0,33,29,5,0,4,87.87878788
2000020105,16,3529,0.0,28,27,2,3,1,96.42857143
2000020105,19,3573,0.0,16,16,1,0,0,100.0
2000020106,26,3526,0.0,37,33,8,0,4,89.18918919
2000020106,25,3594,0.0,27,24,5,2,3,88.88888889
2000020107,28,3578,0.0,30,27,4,4,3,90.0
2000020107,18,3495,0.0,36,31,9,4,5,86.11111111
2000020108,10,3600,0.0,33,32,7,0,1,96.96969697
2000020108,20,3520,0.0,19,17,6,0,2,89.47368421
2000020109,27,3616,0.0,39,37,12,1,2,94.87179487
2000020109,23,3616,0.0,23,20,1,1,3,86.95652174
2000020110,14,3592,0.0,34,32,7,1,2,94.11764706
2000020110,3,3532,0.0,22,18,8,1,4,81.81818182
2000020111,17,3721,0.0,47,46,7,2,1,97.87234043
2000020111,29,3692,0.0,36,34,3,2,2,94.44444444
2000020112,13,3900,0.0,20,20,6,2,0,100.0
2000020112,30,3900,0.0,24,24,3,1,0,100.0
2000020113,27,3900,0.0,39,36,2,1,3,92.30769231
2000020113,22,3900,0.0,15,12,0,1,3,80.0
2000020114,26,3664,0.0,24,20,5,1,4,83.33333333
2000020114,24,3662,0.0,35,30,6,0,5,85.71428571
2000020115,30,3894,0.0,35,33,4,3,2,94.28571429
2000020115,8,2261,0.0,14,13,3,1,1,92.85714286
2000020115,8,1630,0.0,9,8,0,0,1,88.88888889
2000020116,4,3600,0.0,25,21,7,2,4,84.0
2000020116,3,3474,0.0,19,14,3,0,5,73.68421053
2000020117,28,2765,0.0,27,26,11,2,1,96.2962963
2000020117,28,835,0.0,1,0,0,0,1,0.0
2000020117,12,3554,0.0,26,23,5,1,3,88.46153846
2000020118,23,3879,0.0,33,29,1,1,4,87.87878788
2000020118,18,3900,0.0,34,30,5,3,4,88.23529412
2000020119,27,3900,0.0,27,25,2,0,2,92.59259259
2000020119,20,3900,0.0,20,18,3,1,2,90.0
2000020120,12,3600,0.0,31,27,2,0,4,87.09677419
2000020120,7,3597,0.0,31,30,2,0,1,96.77419355
2000020121,30,1188,0.0,9,5,0,0,4,55.55555556
2000020121,30,2400,0.0,20,18,11,0,2,90.0
2000020121,10,3585,0.0,29,28,10,2,1,96.55172414
2000020122,9,3600,0.0,33,31,5,0,2,93.93939394
2000020122,5,3538,0.0,25,22,4,1,3,88.0
2000020123,1,3596,0.0,21,20,3,0,1,95.23809524
2000020123,13,3567,0.0,28,26,1,5,2,92.85714286
2000020124,14,3600,0.0,41,36,6,1,5,87.80487805
2000020124,17,3578,0.0,26,25,2,0,1,96.15384615
2000020125,28,3600,0.0,36,35,11,2,1,97.22222222
2000020125,29,3557,0.0,21,19,6,3,2,90.47619048
2000020126,23,3597,0.0,24,22,5,1,2,91.66666667
2000020126,25,1325,0.0,13,11,2,0,2,84.61538462
2000020126,25,2275,0.0,12,8,1,1,4,66.66666667
2000020127,18,3838,0.0,42,40,8,1,2,95.23809524
2000020127,21,3835,0.0,20,19,2,3,1,95.0
2000020128,11,3600,0.0,27,26,7,0,1,96.2962963
2000020128,22,3551,0.0,24,22,1,1,2,91.66666667
2000020129,24,1874,0.0,22,20,7,1,2,90.90909091
2000020129,24,1723,0.0,13,9,1,0,4,69.23076923
2000020129,26,3582,0.0,18,16,5,0,2,88.88888889
2000020130,15,3600,0.0,33,29,15,1,4,87.87878788
2000020130,6,3600,0.0,28,27,6,2,1,96.42857143
2000020131,3,3480,0.0,30,28,2,1,2,93.33333333
2000020131,4,3600,0.0,32,32,6,1,0,100.0
2000020132,21,3600,0.0,18,18,0,0,0,100.0
2000020132,16,3567,0.0,28,26,4,2,2,92.85714286
2000020133,20,3526,0.0,21,17,5,2,4,80.95238095
2000020133,19,3594,0.0,21,18,7,0,3,85.71428571
2000020134,10,3526,0.0,32,30,3,1,2,93.75
2000020134,7,3600,0.0,20,19,2,0,1,95.0
